InvoiceNo,TotalAmount,TotalQuantity,InvoiceDate,CustomerID,Country
536599,306.4,80,2010-12-02 07:49:00,15694.0,United Kingdom
536600,251.62,56,2010-12-02 08:32:00,17850.0,United Kingdom
536601,22.200000000000003,12,2010-12-02 08:33:00,17850.0,United Kingdom
536602,163.76,64,2010-12-02 08:34:00,17850.0,United Kingdom
536603,22.200000000000003,12,2010-12-02 08:40:00,17850.0,United Kingdom
536604,184.5,114,2010-12-02 08:43:00,14741.0,United Kingdom
536605,272.65000000000003,107,2010-12-02 08:52:00,13715.0,United Kingdom
536607,303.97,93,2010-12-02 09:29:00,17732.0,United Kingdom
536608,38.1,30,2010-12-02 09:37:00,12855.0,United Kingdom
536609,244.46,88,2010-12-02 09:41:00,17850.0,United Kingdom
536610,22.200000000000003,12,2010-12-02 09:42:00,17850.0,United Kingdom
536611,259.65000000000003,153,2010-12-02 09:43:00,15752.0,United Kingdom
536612,206.76,82,2010-12-02 09:44:00,17850.0,United Kingdom
536613,208.97,197,2010-12-02 09:44:00,17855.0,United Kingdom
536614,22.200000000000003,12,2010-12-02 09:44:00,17850.0,United Kingdom
536615,286.92,108,2010-12-02 10:09:00,14047.0,United Kingdom
536616,244.08,72,2010-12-02 10:10:00,17925.0,United Kingdom
536617,1095.12,644,2010-12-02 10:17:00,13941.0,United Kingdom
536618,780.12,600,2010-12-02 10:17:00,17017.0,United Kingdom
536619,97.19999999999999,48,2010-12-02 10:18:00,17017.0,United Kingdom
536620,485.25,741,2010-12-02 10:27:00,14135.0,United Kingdom
536621,350.06,298,2010-12-02 10:35:00,13108.0,United Kingdom
536623,768.38,666,2010-12-02 10:39:00,15601.0,United Kingdom
536624,610.64,228,2010-12-02 10:45:00,13418.0,United Kingdom
536626,12.600000000000001,6,2010-12-02 10:46:00,13418.0,United Kingdom
536627,306.2,64,2010-12-02 10:53:00,15658.0,United Kingdom
536628,230.56,86,2010-12-02 10:54:00,17850.0,United Kingdom
536629,22.200000000000003,12,2010-12-02 10:55:00,17850.0,United Kingdom
536630,244.46,88,2010-12-02 10:56:00,17850.0,United Kingdom
536631,22.200000000000003,12,2010-12-02 10:58:00,17850.0,United Kingdom
536632,312.8,170,2010-12-02 11:02:00,14388.0,United Kingdom
536633,204.15,105,2010-12-02 11:20:00,14901.0,United Kingdom
536634,193.78,159,2010-12-02 11:21:00,18041.0,United Kingdom
536635,572.38,246,2010-12-02 11:22:00,15955.0,United Kingdom
536636,106.2,36,2010-12-02 11:23:00,15070.0,United Kingdom
536637,219.66,157,2010-12-02 11:35:00,18041.0,United Kingdom
536638,1056.63,619,2010-12-02 11:41:00,16244.0,United Kingdom
536639,288.5,106,2010-12-02 11:45:00,15111.0,United Kingdom
536641,4.25,1,2010-12-02 11:46:00,12748.0,United Kingdom
536643,223.7,74,2010-12-02 11:57:00,14390.0,United Kingdom
536663,299.40000000000003,156,2010-12-02 12:07:00,16546.0,United Kingdom
536667,362.5,214,2010-12-02 12:09:00,15260.0,United Kingdom
536670,58.0,40,2010-12-02 12:09:00,15260.0,United Kingdom
536671,136.2,132,2010-12-02 12:10:00,13305.0,United Kingdom
536672,127.2,40,2010-12-02 12:10:00,14491.0,United Kingdom
536673,339.84,504,2010-12-02 12:11:00,14060.0,United Kingdom
536674,127.08,122,2010-12-02 12:16:00,15923.0,United Kingdom
536676,207.5,54,2010-12-02 12:18:00,16752.0,United Kingdom
536681,113.92,46,2010-12-02 12:22:00,17287.0,United Kingdom
536685,380.46,108,2010-12-02 12:23:00,17850.0,United Kingdom
536688,22.200000000000003,12,2010-12-02 12:24:00,17850.0,United Kingdom
536690,331.26,92,2010-12-02 12:25:00,17850.0,United Kingdom
536693,22.200000000000003,12,2010-12-02 12:26:00,17850.0,United Kingdom
536698,326.0,144,2010-12-02 12:28:00,15363.0,United Kingdom
536707,199.65,41,2010-12-02 12:33:00,12915.0,United Kingdom
536732,354.54,274,2010-12-02 12:47:00,15544.0,United Kingdom
536733,329.65000000000003,255,2010-12-02 12:50:00,15738.0,United Kingdom
536735,211.2,128,2010-12-02 12:58:00,17381.0,United Kingdom
536736,824.88,1296,2010-12-02 12:59:00,17381.0,United Kingdom
536738,98.18,42,2010-12-02 13:06:00,15827.0,United Kingdom
536739,201.75,31,2010-12-02 13:08:00,14180.0,United Kingdom
536740,92.75,67,2010-12-02 13:08:00,15827.0,United Kingdom
536741,202.12,130,2010-12-02 13:11:00,13117.0,United Kingdom
536742,196.43,102,2010-12-02 13:14:00,16916.0,United Kingdom
536743,261.76,195,2010-12-02 13:32:00,17964.0,United Kingdom
536744,379.75,137,2010-12-02 13:36:00,14466.0,United Kingdom
536745,341.9,126,2010-12-02 13:38:00,17235.0,United Kingdom
536746,248.1,92,2010-12-02 13:39:00,16510.0,United Kingdom
536747,100.2,75,2010-12-02 13:44:00,17802.0,United Kingdom
536748,116.0,26,2010-12-02 13:45:00,15107.0,United Kingdom
536749,321.79,93,2010-12-02 13:49:00,17976.0,United Kingdom
536750,434.8,118,2010-12-02 14:04:00,17850.0,United Kingdom
536751,22.200000000000003,12,2010-12-02 14:05:00,17850.0,United Kingdom
536752,390.66,104,2010-12-02 14:06:00,17850.0,United Kingdom
536753,22.200000000000003,12,2010-12-02 14:07:00,17850.0,United Kingdom
536754,210.24,142,2010-12-02 14:09:00,14449.0,United Kingdom
536759,311.25,113,2010-12-02 14:26:00,16781.0,United Kingdom
536761,98.9,36,2010-12-02 14:30:00,13491.0,United Kingdom
536762,307.68,231,2010-12-02 14:40:00,16186.0,United Kingdom
536763,452.52,331,2010-12-02 14:42:00,17685.0,United Kingdom
536769,668.4,375,2010-12-02 14:47:00,17581.0,United Kingdom
536771,118.38,66,2010-12-02 14:49:00,17581.0,United Kingdom
536777,138.1,97,2010-12-02 15:00:00,15732.0,United Kingdom
536778,193.23,125,2010-12-02 15:03:00,13138.0,United Kingdom
536779,15.0,1,2010-12-02 15:08:00,15823.0,United Kingdom
536781,50.400000000000006,24,2010-12-02 15:14:00,17460.0,United Kingdom
536782,517.95,244,2010-12-02 15:18:00,17567.0,United Kingdom
536783,4076.48,2909,2010-12-02 15:19:00,15061.0,United Kingdom
536784,2170.9,1330,2010-12-02 15:20:00,15061.0,United Kingdom
536785,2730.96,1008,2010-12-02 15:22:00,15061.0,United Kingdom
536786,324.0,144,2010-12-02 15:23:00,15061.0,United Kingdom
536787,192.46,76,2010-12-02 15:24:00,17850.0,United Kingdom
536788,75.0,60,2010-12-02 15:25:00,15061.0,United Kingdom
536789,22.200000000000003,12,2010-12-02 15:25:00,17850.0,United Kingdom
536790,532.01,141,2010-12-02 15:26:00,17850.0,United Kingdom
536791,44.400000000000006,24,2010-12-02 15:27:00,17850.0,United Kingdom
536792,30.0,24,2010-12-02 15:28:00,15061.0,United Kingdom
536793,170.7,70,2010-12-02 15:39:00,16203.0,United Kingdom
536794,322.8,96,2010-12-02 15:40:00,13767.0,United Kingdom
536795,333.72,180,2010-12-02 15:40:00,15640.0,United Kingdom
536796,349.04,159,2010-12-02 15:46:00,15574.0,United Kingdom
536797,130.8,56,2010-12-02 15:49:00,16770.0,United Kingdom
536798,684.46,454,2010-12-02 15:55:00,17838.0,United Kingdom
536799,183.3,122,2010-12-02 16:00:00,17228.0,United Kingdom
536800,236.97,190,2010-12-02 16:12:00,14829.0,United Kingdom
536802,197.3,50,2010-12-02 16:29:00,17412.0,United Kingdom
536803,22.5,6,2010-12-02 16:33:00,14911.0,EIRE
536804,1714.25,531,2010-12-02 16:34:00,14031.0,United Kingdom
536805,406.56,384,2010-12-02 16:38:00,14775.0,United Kingdom
536806,45.12,84,2010-12-02 16:42:00,12971.0,United Kingdom
536808,247.8,64,2010-12-02 16:46:00,17659.0,United Kingdom
536809,1003.2,1824,2010-12-02 16:48:00,15299.0,United Kingdom
536810,303.96,204,2010-12-02 16:50:00,15299.0,United Kingdom
536811,527.85,69,2010-12-02 16:51:00,15299.0,United Kingdom
536813,189.8,230,2010-12-02 16:59:00,15646.0,United Kingdom
536819,308.28000000000003,190,2010-12-02 17:12:00,13402.0,United Kingdom
536821,143.45000000000002,80,2010-12-02 17:17:00,17757.0,United Kingdom
536823,50.550000000000004,13,2010-12-02 17:22:00,13011.0,United Kingdom
536824,408.0,160,2010-12-02 17:24:00,13798.0,United Kingdom
536830,2002.4,4280,2010-12-02 17:38:00,16754.0,United Kingdom
536831,569.4,260,2010-12-02 17:40:00,16029.0,United Kingdom
536832,164.8,64,2010-12-02 17:41:00,16634.0,United Kingdom
536833,438.1,208,2010-12-02 17:48:00,18239.0,United Kingdom
536834,35.400000000000006,12,2010-12-02 17:51:00,14576.0,United Kingdom
536835,295.0,1,2010-12-02 18:06:00,13145.0,United Kingdom
536836,263.3,133,2010-12-02 18:08:00,18168.0,United Kingdom
536837,308.68,174,2010-12-02 18:15:00,14395.0,United Kingdom
536838,37.2,96,2010-12-02 18:23:00,14865.0,United Kingdom
536839,623.73,879,2010-12-02 18:25:00,15093.0,United Kingdom
536840,155.35,148,2010-12-02 18:27:00,12738.0,Germany
536841,393.42,174,2010-12-02 18:27:00,16150.0,United Kingdom
536842,263.62,130,2010-12-02 18:45:00,17552.0,United Kingdom
536843,34.9,14,2010-12-02 18:46:00,17552.0,United Kingdom
536844,189.3,38,2010-12-02 18:49:00,14236.0,United Kingdom
536845,127.55,45,2010-12-02 19:18:00,17961.0,United Kingdom
536846,402.0,126,2010-12-02 19:59:00,14573.0,United Kingdom
536847,215.57999999999998,222,2010-12-03 09:31:00,17135.0,United Kingdom
536848,534.0,280,2010-12-03 09:39:00,13408.0,United Kingdom
536849,397.5,106,2010-12-03 09:45:00,17396.0,United Kingdom
536851,1368.4,360,2010-12-03 09:49:00,12967.0,United Kingdom
536852,89.14,107,2010-12-03 09:51:00,12686.0,France
536856,754.87,343,2010-12-03 10:26:00,13370.0,United Kingdom
536857,128.03,54,2010-12-03 10:33:00,16883.0,United Kingdom
536858,303.4,110,2010-12-03 10:36:00,13520.0,Switzerland
536859,294.25,186,2010-12-03 10:43:00,12841.0,United Kingdom
536860,254.39999999999998,108,2010-12-03 10:43:00,16905.0,United Kingdom
536861,303.5,79,2010-12-03 10:44:00,12427.0,Germany
536863,112.27,73,2010-12-03 11:19:00,17967.0,United Kingdom
536874,217.26,86,2010-12-03 11:35:00,16891.0,United Kingdom
536884,39.75,5,2010-12-03 11:42:00,14589.0,United Kingdom
536890,322.2,1548,2010-12-03 11:48:00,14156.0,EIRE
536938,1680.88,464,2010-12-03 12:05:00,14680.0,United Kingdom
536943,187.51,170,2010-12-03 12:11:00,17884.0,United Kingdom
536944,620.0,400,2010-12-03 12:20:00,12557.0,Spain
536945,294.01,152,2010-12-03 12:24:00,14083.0,United Kingdom
536946,841.94,363,2010-12-03 12:28:00,13013.0,United Kingdom
536947,686.4,439,2010-12-03 12:29:00,13013.0,United Kingdom
536954,425.0,100,2010-12-03 12:41:00,17809.0,United Kingdom
536956,304.95000000000005,93,2010-12-03 12:43:00,14210.0,United Kingdom
536957,791.7,234,2010-12-03 12:43:00,17809.0,United Kingdom
536960,225.65,125,2010-12-03 12:48:00,16477.0,United Kingdom
536967,76.5,31,2010-12-03 12:57:00,12600.0,Germany
536968,534.0,168,2010-12-03 13:09:00,16013.0,United Kingdom
536969,528.0,192,2010-12-03 13:10:00,16013.0,United Kingdom
536970,1314.0,120,2010-12-03 13:12:00,17949.0,United Kingdom
536971,248.16,140,2010-12-03 13:40:00,12779.0,Poland
536972,230.25,35,2010-12-03 13:42:00,16926.0,United Kingdom
536973,736.28,356,2010-12-03 13:43:00,17787.0,United Kingdom
536974,336.24,132,2010-12-03 13:59:00,12682.0,France
536975,1705.65,827,2010-12-03 14:04:00,14911.0,EIRE
536976,149.8,76,2010-12-03 14:18:00,14723.0,United Kingdom
536977,108.78,60,2010-12-03 14:18:00,17954.0,United Kingdom
536980,591.47,239,2010-12-03 14:26:00,17819.0,United Kingdom
536981,97.39,38,2010-12-03 14:26:00,14723.0,United Kingdom
536983,175.53,60,2010-12-03 14:30:00,12712.0,Germany
536984,339.54,136,2010-12-03 14:35:00,17841.0,United Kingdom
536985,334.3,42,2010-12-03 14:40:00,15373.0,United Kingdom
536986,124.14,104,2010-12-03 14:40:00,16140.0,United Kingdom
536987,272.01,124,2010-12-03 14:54:00,17198.0,United Kingdom
536988,254.39000000000001,100,2010-12-03 15:05:00,17238.0,United Kingdom
536989,115.7,26,2010-12-03 15:10:00,17238.0,United Kingdom
536990,131.8,65,2010-12-03 15:14:00,12793.0,Portugal
536992,91.8,36,2010-12-03 15:16:00,15769.0,United Kingdom
536993,110.35000000000001,39,2010-12-03 15:19:00,14396.0,United Kingdom
536994,98.5,18,2010-12-03 15:25:00,14898.0,United Kingdom
537022,427.8,164,2010-12-03 15:45:00,12725.0,Italy
537023,122.15,64,2010-12-03 16:02:00,16725.0,United Kingdom
537026,346.1,528,2010-12-03 16:35:00,12395.0,Belgium
537030,246.3,142,2010-12-03 16:44:00,16455.0,United Kingdom
537031,135.0,108,2010-12-03 16:45:00,16455.0,United Kingdom
537034,2355.1800000000003,1338,2010-12-03 17:20:00,13081.0,United Kingdom
537035,11.6,8,2010-12-03 17:21:00,13081.0,United Kingdom
537036,135.32999999999998,75,2010-12-03 17:28:00,15545.0,United Kingdom
537037,256.90000000000003,92,2010-12-05 10:03:00,17243.0,United Kingdom
537038,535.75,125,2010-12-05 10:12:00,15465.0,United Kingdom
537040,734.3999999999999,192,2010-12-05 10:27:00,13089.0,United Kingdom
537041,155.64000000000001,52,2010-12-05 10:36:00,16033.0,United Kingdom
537042,230.66,80,2010-12-05 10:45:00,13838.0,United Kingdom
537044,431.45,93,2010-12-05 10:52:00,18055.0,United Kingdom
537045,118.88,43,2010-12-05 10:54:00,15038.0,United Kingdom
537046,277.45,55,2010-12-05 10:58:00,18109.0,United Kingdom
537047,326.6,181,2010-12-05 11:02:00,13069.0,United Kingdom
537048,5.9,2,2010-12-05 11:03:00,13069.0,United Kingdom
537049,277.65000000000003,97,2010-12-05 11:04:00,16241.0,United Kingdom
537050,555.84,437,2010-12-05 11:10:00,14800.0,United Kingdom
537051,317.29,121,2010-12-05 11:12:00,15708.0,United Kingdom
537052,552.24,232,2010-12-05 11:15:00,16839.0,United Kingdom
537053,275.8,124,2010-12-05 11:38:00,16168.0,United Kingdom
537054,152.05,82,2010-12-05 11:40:00,16931.0,United Kingdom
537055,273.29,107,2010-12-05 11:45:00,16814.0,United Kingdom
537057,274.67,129,2010-12-05 11:49:00,15351.0,United Kingdom
537058,351.43,197,2010-12-05 11:51:00,13269.0,United Kingdom
537059,125.43,58,2010-12-05 11:54:00,14813.0,United Kingdom
537065,1526.92,611,2010-12-05 11:57:00,12567.0,France
537067,27.45,8,2010-12-05 11:57:00,14813.0,United Kingdom
537077,179.64000000000001,163,2010-12-05 11:59:00,17062.0,United Kingdom
537081,1145.06,442,2010-12-05 12:00:00,15332.0,Lithuania
537086,438.0,168,2010-12-05 12:01:00,15332.0,Lithuania
537090,15.0,12,2010-12-05 12:02:00,15332.0,Lithuania
537111,177.89,83,2010-12-05 12:08:00,14810.0,United Kingdom
537117,204.0,48,2010-12-05 12:09:00,16353.0,United Kingdom
537126,472.11,211,2010-12-05 12:13:00,18118.0,United Kingdom
537127,408.0,160,2010-12-05 12:13:00,13831.0,United Kingdom
537128,211.74,135,2010-12-05 12:15:00,12841.0,United Kingdom
537129,301.12,232,2010-12-05 12:15:00,13506.0,United Kingdom
537130,114.65,28,2010-12-05 12:23:00,17796.0,United Kingdom
537131,529.4,429,2010-12-05 12:26:00,15716.0,United Kingdom
537133,186.88,68,2010-12-05 12:29:00,18156.0,United Kingdom
537134,163.49,107,2010-12-05 12:34:00,16983.0,United Kingdom
537135,722.36,471,2010-12-05 12:35:00,17059.0,United Kingdom
537136,267.46000000000004,147,2010-12-05 12:42:00,12748.0,United Kingdom
537137,535.6,392,2010-12-05 12:43:00,16327.0,United Kingdom
537138,273.3,204,2010-12-05 12:44:00,17211.0,United Kingdom
537139,33.15,25,2010-12-05 12:47:00,17026.0,United Kingdom
537140,65.57,51,2010-12-05 12:53:00,12748.0,United Kingdom
537141,517.65,165,2010-12-05 12:57:00,15570.0,United Kingdom
537142,41.45,16,2010-12-05 12:57:00,12748.0,United Kingdom
537144,329.03000000000003,202,2010-12-05 13:00:00,15880.0,United Kingdom
537153,606.0500000000001,407,2010-12-05 13:03:00,16718.0,United Kingdom
537154,953.05,327,2010-12-05 13:05:00,15808.0,United Kingdom
537155,73.72,63,2010-12-05 13:05:00,12748.0,United Kingdom
537156,236.25,75,2010-12-05 13:08:00,17858.0,United Kingdom
537158,184.8,86,2010-12-05 13:10:00,16393.0,United Kingdom
537159,292.95,60,2010-12-05 13:17:00,14527.0,United Kingdom
537160,283.15,128,2010-12-05 13:18:00,14161.0,United Kingdom
537163,384.71999999999997,276,2010-12-05 13:21:00,17863.0,United Kingdom
537176,128.55,69,2010-12-05 13:26:00,16411.0,United Kingdom
537179,806.28,284,2010-12-05 13:29:00,13767.0,United Kingdom
537192,205.65,102,2010-12-05 13:42:00,16402.0,United Kingdom
537193,429.40000000000003,226,2010-12-05 13:49:00,15023.0,United Kingdom
537194,271.2,80,2010-12-05 13:53:00,17402.0,United Kingdom
537195,635.64,298,2010-12-05 13:55:00,15311.0,United Kingdom
537196,382.57,149,2010-12-05 13:55:00,15426.0,United Kingdom
537197,286.5,79,2010-12-05 14:02:00,12647.0,Germany
537198,85.5,11,2010-12-05 14:03:00,12647.0,Germany
537199,151.44,111,2010-12-05 14:06:00,15894.0,United Kingdom
537200,111.65,46,2010-12-05 14:17:00,15867.0,United Kingdom
537201,1631.3,972,2010-12-05 14:19:00,12472.0,Germany
537202,257.0,106,2010-12-05 14:25:00,14506.0,United Kingdom
537204,198.43,293,2010-12-05 14:45:00,15555.0,United Kingdom
537205,165.86,116,2010-12-05 14:52:00,13034.0,United Kingdom
537206,85.55000000000001,25,2010-12-05 15:02:00,15235.0,United Kingdom
537207,188.77,40,2010-12-05 15:06:00,17402.0,United Kingdom
537208,272.07,141,2010-12-05 15:12:00,15889.0,United Kingdom
537209,192.68,83,2010-12-05 15:12:00,14606.0,United Kingdom
537210,207.74,100,2010-12-05 15:15:00,15953.0,United Kingdom
537211,355.75,145,2010-12-05 15:18:00,16143.0,United Kingdom
537212,473.39,299,2010-12-05 15:21:00,12720.0,Germany
537213,8.65,7,2010-12-05 15:26:00,12748.0,United Kingdom
537214,1668.2,2048,2010-12-05 15:35:00,16422.0,United Kingdom
537215,358.55999999999995,108,2010-12-05 15:38:00,12747.0,United Kingdom
537216,569.5,240,2010-12-05 15:40:00,15502.0,United Kingdom
537217,167.2,16,2010-12-05 15:40:00,15502.0,United Kingdom
537218,320.08,196,2010-12-05 15:46:00,12763.0,Japan
537219,423.52,252,2010-12-05 15:47:00,14081.0,United Kingdom
537221,37.35,14,2010-12-05 15:54:00,17965.0,United Kingdom
537222,129.23,56,2010-12-05 16:00:00,14404.0,United Kingdom
537223,164.70000000000002,46,2010-12-05 16:10:00,13579.0,United Kingdom
537224,1369.06,674,2010-12-05 16:24:00,13174.0,United Kingdom
537225,491.38,310,2010-12-05 16:41:00,12748.0,United Kingdom
537226,113.48,86,2010-12-06 08:34:00,15987.0,United Kingdom
